Index,Name,Area,Weight,Rep_num,RIR,Instructions
1,Bulgarian Split Squat,Quadriceps,1,2,0,"Stand with one foot elevated behind you on a bench, lower your body by bending your front knee, and push through your front foot to return to the starting position."
2,Weighted Lounge,Quadriceps,1,2,0,"Step forward with one leg, lowering your body until both knees are bent at 90-degree angles, then push through your front heel to return to the starting position."
3,Leg Press Machine,Quadriceps,1,2,0,"Sit on the machine with your feet on the footplate, push the footplate away by extending your knees, and then lower it back down."
4,Wall Sit,Quadriceps,0,2,0,"Lean against a wall with your feet shoulder-width apart, slide down until your thighs are parallel to the ground, and hold that position."
5,Leg Extension Machine,Quadriceps,1,2,0,"Sit on the machine with your legs under the padded lever, extend your legs forward, and then lower them back down."
6,Standing Weighted Calf Raises,Calves,1,2,0,"Stand with the balls of your feet on an elevated platform, rise up onto your toes, and then lower your heels back down."
7,Leg Press Machine Calf Raises,Calves,1,2,0,"Sit on the leg press machine with your feet on the footplate, push the footplate away by extending your ankles, and then lower it back down."
8,Single Leg Box Jump,Calves,1,2,0,"Stand facing a box or platform, jump onto it with one leg, and then step back down."
9,Barbell Hip Thrust,Glutes,2,1,0,"Sit with your back against a bench, position a barbell across your hips, lift your hips off the ground, and squeeze your glutes at the top."
10,Weighted Squat,Glutes,2,1,0,"Stand with your feet shoulder-width apart, hold a weight (such as a barbell) on your upper back, lower your body by bending your knees, and push through your heels to return to the starting position."
11,Cable Kick-backs,Glutes,1,1,0,"Attach an ankle cuff to a cable machine, secure it around your ankle, stand facing the machine, and kick your leg straight back while keeping your core engaged."
12,Romanian Deadlift,Hamstrings,1,2,0,"Stand with your feet hip-width apart, hold a barbell in front of your thighs, hinge forward at the hips while keeping a slight bend in your knees, and then return to the starting position by squeezing your glutes and driving your hips forward."
13,Single Leg Romanian Deadlift,Hamstrings,1,1,0,"Stand on one leg, hold a weight (such as a kettlebell) in one hand, hinge forward at the hips while lifting the opposite leg straight behind you, and return to the starting position by engaging your hamstrings and glutes."
14,Nordic Hamstring Curl,Hamstrings,0,1,0,"Kneel on a pad or soft surface, lower your upper body by bending at the knees and hips, and use your hamstrings to pull yourself back up to the starting position."
